year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2008,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z58k924340,ny,,84723.0,black,gray,della honda,2250.0,1500.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2008,Saturn,VUE,XR,SUV,automatic,3gscl53708s665239,il,3.0,83249.0,orange,beige,ally,6875.0,6200.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2008,Saturn,Sky,Red Line,Convertible,automatic,1g8mg35xx8y103163,az,,77259.0,red,black,moore automotive group,6775.0,9000.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gsdl43n28s698062,mi,39.0,89992.0,black,beige,chrysler capital,6475.0,8500.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p18s527178,fl,31.0,108950.0,white,tan,santander consumer,4625.0,4500.0,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
2008,Subaru,Forester,2.5 X Premium Package,Wagon,automatic,jf1sg65618h717532,va,38.0,132376.0,red,beige,blue knob auto sales inc,4925.0,5100.0,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
2008,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56zx8k908294,fl,22.0,113777.0,blue,gray,hyundai of new port richey,1775.0,1200.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2008,Saturn,Outlook,XR,SUV,automatic,5gzer33798j184929,nv,34.0,102302.0,brown,tan,remarketing by ge/deseret first credit union,8600.0,8000.0,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2008,smart,fortwo,passion,Hatchback,,wmeej31x88k201680,fl,,11640.0,yellow,—,onemain rem/j&d expo inc dba auto connect,5625.0,6500.0,Fri Dec 19 2014 09:25:00 GMT-0800 (PST)
2008,Scion,xB,Base,Wagon,manual,jtlke50e181000179,ny,,129128.0,turquoise,gray,abs,4850.0,2600.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p88s605164,nc,33.0,136708.0,silver,gray,fleet lease remarketing,4000.0,5100.0,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2008,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z78k860317,ny,,104431.0,silver,gray,fuccillo hyundai,1925.0,2500.0,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p78s642917,fl,,129961.0,orange,beige,earl stewart toyota of north palm beach,4025.0,4600.0,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2008,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b28u321812,mn,,102887.0,red,tan,burnsville toyota,9425.0,9600.0,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
